,tracking_id,datetime,windmill_generated_power(kW/h)
0,WM_19817,2019-04-17 08:53:20,2.4395473
1,WM_18723,2019-03-30 07:43:20,2.3480616
2,WM_34552,2019-08-10 11:33:20,3.3560078
3,WM_28570,2019-06-26 03:53:20,7.119359
4,WM_36934,2019-08-27 16:43:20,3.9956057
5,WM_46,2018-10-29 04:43:20,7.9961443
6,WM_5545,2018-12-16 15:13:20,3.8006175
7,WM_6959,2018-12-27 01:53:20,11.5107355
8,WM_9565,2019-01-14 13:43:20,8.6878605
9,WM_33379,2019-08-02 03:33:20,2.3691993
10,WM_24358,2019-05-24 04:23:20,4.7398586
11,WM_38536,2019-09-10 00:23:20,8.792243
12,WM_30740,2019-07-11 20:33:20,6.710428
13,WM_32731,2019-07-28 12:23:20,4.585788
14,WM_14062,2019-02-17 14:03:20,8.75746
15,WM_15294,2019-02-27 03:03:20,11.8534975
16,WM_36014,2019-08-21 06:03:20,4.580737
17,WM_5050,2018-12-11 01:23:20,11.872008
18,WM_17819,2019-03-22 11:53:20,2.3401732
19,WM_1759,2018-11-13 16:23:20,2.541078
20,WM_27254,2019-06-16 12:13:20,4.424035
21,WM_14482,2019-02-20 17:53:20,7.516092
22,WM_40277,2019-09-23 05:03:20,5.1534963
23,WM_23364,2019-05-17 04:43:20,4.7449017
24,WM_35071,2019-08-14 02:53:20,8.367974
25,WM_1240,2018-11-09 20:43:20,5.2533803
26,WM_193,2018-10-30 05:43:20,8.63522
27,WM_31417,2019-07-16 15:23:20,7.89235
28,WM_37853,2019-09-05 02:13:20,5.2582073
29,WM_34415,2019-08-09 12:13:20,2.3854852
30,WM_20130,2019-04-22 05:03:20,4.2985563
31,WM_36985,2019-08-28 01:13:20,2.90382
32,WM_32816,2019-07-29 02:53:20,7.695344
33,WM_9659,2019-01-15 06:03:20,9.221711
34,WM_34192,2019-08-07 22:13:20,5.88309
35,WM_7124,2018-12-28 06:43:20,9.11844
36,WM_35945,2019-08-20 18:33:20,5.7423697
37,WM_29448,2019-07-02 12:43:20,4.932715
38,WM_26129,2019-06-08 07:53:20,4.0598965
39,WM_3566,2018-11-29 22:53:20,6.7591753
40,WM_1340,2018-11-10 15:23:20,2.963017
41,WM_14304,2019-02-19 08:33:20,6.9549522
42,WM_22513,2019-05-11 04:33:20,5.328158
43,WM_15672,2019-03-01 19:03:20,12.0735655
44,WM_28793,2019-06-27 17:53:20,2.1143556
45,WM_13683,2019-02-14 16:33:20,7.915152
46,WM_8450,2019-01-06 15:23:20,8.47983
47,WM_39606,2019-09-17 19:03:20,8.077402
48,WM_33792,2019-08-05 01:43:20,8.206228
49,WM_39434,2019-09-16 14:23:20,2.3475068
50,WM_16883,2019-03-14 00:13:20,2.8148885
51,WM_16423,2019-03-08 21:13:20,5.6700597
52,WM_19378,2019-04-07 14:43:20,3.842671
53,WM_35176,2019-08-14 20:23:20,8.301227
54,WM_39649,2019-09-18 02:13:20,6.2675557
55,WM_16624,2019-03-11 23:43:20,2.4485707
56,WM_25236,2019-05-31 15:13:20,3.8503911
57,WM_30165,2019-07-07 15:13:20,2.4107487
58,WM_11229,2019-01-26 21:13:20,11.270161
59,WM_22495,2019-05-11 01:33:20,4.72101
60,WM_1410,2018-11-11 03:43:20,2.419626
61,WM_3502,2018-11-29 11:23:20,4.125984
62,WM_11799,2019-02-01 03:53:20,9.373337
63,WM_22334,2019-05-09 20:43:20,6.0195556
64,WM_37802,2019-09-04 17:43:20,3.8776808
65,WM_6663,2018-12-24 23:53:20,10.353847
66,WM_29243,2019-07-01 01:43:20,5.388446
67,WM_5320,2018-12-14 23:53:20,7.2723093
68,WM_16550,2019-03-10 15:43:20,6.877516
69,WM_2183,2018-11-16 16:43:20,5.3680983
70,WM_3438,2018-11-29 00:33:20,5.8536453
71,WM_36325,2019-08-23 10:03:20,3.7726827
72,WM_8597,2019-01-07 16:23:20,5.9852047
73,WM_31833,2019-07-19 14:33:20,5.597329
74,WM_10149,2019-01-18 22:33:20,10.635266
75,WM_38811,2019-09-11 22:23:20,8.282373
76,WM_31073,2019-07-14 05:13:20,4.475627
77,WM_1314,2018-11-10 11:03:20,5.538149
78,WM_28386,2019-06-24 20:03:20,8.6826725
79,WM_198,2018-10-30 06:33:20,9.361207
80,WM_10525,2019-01-21 14:03:20,11.037873
81,WM_11900,2019-02-01 21:03:20,11.876107
82,WM_18459,2019-03-27 07:03:20,3.7768862
83,WM_33737,2019-08-04 16:33:20,6.751723
84,WM_1851,2018-11-14 08:03:20,2.1206157
85,WM_21673,2019-05-05 04:43:20,5.103811
86,WM_6566,2018-12-24 07:23:20,10.2704935
87,WM_36845,2019-08-27 01:53:20,2.3028326
88,WM_7916,2019-01-02 19:43:20,12.732174
89,WM_27896,2019-06-21 06:43:20,4.8621955
90,WM_21392,2019-05-02 11:33:20,4.472419
91,WM_27683,2019-06-19 18:13:20,4.6005497
92,WM_8769,2019-01-08 22:13:20,5.077652
93,WM_30312,2019-07-08 17:53:20,5.2487073
94,WM_29472,2019-07-02 16:43:20,3.764147
95,WM_3189,2018-11-27 06:33:20,9.629505
